,time,stg,lat,lon,depth,xx,yy,label,clipped_stns,clipped_binary,n_clipped_stns,Mw
47679,2018-12-17T12:34:41.042100Z,41.0,53.788886,-2.965318,2.277344,336500.47807041265,432938.5247248905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.128469137711189
47680,2018-12-17T12:34:54.329900Z,41.0,53.787966,-2.964799,2.225781,336533.2809827228,432835.70710158633,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0694766533932434
47681,2018-12-17T12:34:59.105200Z,41.0,53.788273,-2.965318,2.346094,336499.5521756244,432870.3268337768,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47682,2018-12-17T12:35:03.061000Z,41.0,53.78858,-2.965058,2.294531,336517.14482740976,432904.2483598256,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.1969716002248347
47683,2018-12-17T12:35:06.560500Z,41.0,53.789462,-2.9659020000000003,2.3074220000000003,336462.8746173269,433003.1299057607,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.6017105306961277
47684,2018-12-17T12:35:07.875100Z,41.0,53.788848,-2.966292,2.341797,336436.25339392736,432935.1706772285,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47685,2018-12-17T12:35:09.297500Z,41.0,53.7895,-2.965317,2.311719,336501.4713621654,433006.83297913417,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47686,2018-12-17T12:35:26.580900Z,41.0,53.788886,-2.965058,2.277344,336517.606898932,432938.2916877708,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47687,2018-12-17T12:35:32.405800Z,41.0,53.78996,-2.966356,2.242969,336433.71844568074,433058.9409872243,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47688,2018-12-17T12:35:36.631600Z,41.0,53.787659,-2.967655,2.208594,336344.65859756776,432804.11544213095,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47689,2018-12-17T12:35:45.967100Z,41.0,53.78858,-2.965058,2.277344,336517.14482740976,432904.2483598256,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47690,2018-12-17T12:35:46.698200Z,41.0,53.789078,-2.964863,2.341797,336530.7433915349,432959.4774751679,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47691,2018-12-17T12:35:50.564800Z,41.0,53.7895,-2.965058,2.311719,336518.5340675701,433006.6008541789,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0978386669563314
47692,2018-12-17T12:35:55.761300Z,41.0,53.789654000000006,-2.965837,2.294531,336467.44692586304,433024.4321166263,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47693,2018-12-17T12:36:12.673900Z,41.0,53.78873299999999,-2.964019,2.346094,336585.8255437948,432920.33938192617,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47694,2018-12-17T12:36:14.363800Z,41.0,53.789347,-2.964538,2.311719,336552.56032166374,432989.1133259988,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47695,2018-12-17T12:36:14.702900Z,41.0,53.78873299999999,-2.964279,2.380469,336568.6966528993,432920.5721722877,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47696,2018-12-17T12:36:16.496300Z,41.0,53.78881,-2.966227,2.320312,336440.47815503913,432930.88475458615,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47697,2018-12-17T12:36:22.549400Z,41.0,53.788886,-2.965577,2.277344,336483.4151223985,432938.75692808616,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.3372342524829204
47698,2018-12-17T12:36:23.161300Z,41.0,53.788848,-2.965642,2.3074220000000003,336479.07549998834,432934.5876120794,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47699,2018-12-17T12:36:25.877300Z,41.0,53.789232,-2.966291,2.316016,336436.8998543564,432977.8907741404,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47700,2018-12-17T12:36:29.278500Z,41.0,53.788158,-2.965773,2.324609,336469.4025216573,432857.94077537296,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47701,2018-12-17T12:36:32.175300Z,41.0,53.788886,-2.965058,2.225781,336517.606898932,432938.2916877708,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.6675200917759057
47702,2018-12-17T12:36:37.030300Z,41.0,53.788886,-2.965318,2.277344,336500.47807041265,432938.5247248905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47703,2018-12-17T12:36:44.464300Z,41.0,53.788119,-2.966097,2.328906,336447.99805417896,432853.8925723496,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47704,2018-12-17T12:36:45.695800Z,41.0,53.788426,-2.964799,2.294531,336533.9754131634,432886.8833535419,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47705,2018-12-17T12:36:49.191900Z,41.0,53.788119,-2.964539,2.242969,336550.64108990924,432852.49583593727,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47706,2018-12-17T12:36:51.899100Z,41.0,53.789193,-2.965577,2.2601560000000003,336483.8789492712,432972.9114946596,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47707,2018-12-17T12:37:03.554500Z,41.0,53.788426,-2.964799,2.311719,336533.9754131634,432886.8833535419,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47708,2018-12-17T12:37:13.293600Z,41.0,53.789654000000006,-2.964279,2.277344,336570.0863095236,433023.0359929479,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0670642398709198
47709,2018-12-17T12:37:15.975800Z,41.0,53.788426,-2.965578,2.346094,336482.6542601462,432887.5816044461,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47710,2018-12-17T12:37:34.423300Z,41.0,53.789654000000006,-2.965577,2.294531,336484.57544845925,433024.1989740528,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47711,2018-12-17T12:37:52.508300Z,41.0,53.78904,-2.965318,2.277344,336500.7106780879,432955.657638244,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.8364227789437813
47712,2018-12-17T12:38:02.396800Z,41.0,53.788004,-2.966032,2.358984,336452.10651317553,432841.0402065926,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.212316362737944
47713,2018-12-17T12:38:04.349200Z,41.0,53.788196,-2.967785,2.217188,336336.9070609625,432863.97483208135,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.019146167479449
47714,2018-12-17T12:38:05.316900Z,41.0,53.788886,-2.965318,2.2601560000000003,336500.47807041265,432938.5247248905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47715,2018-12-17T12:38:09.283200Z,41.0,53.78904,-2.965577,2.277344,336483.64779102284,432955.8898374901,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0068308142485076
47716,2018-12-17T12:38:15.164700Z,41.0,53.787813,-2.964799,2.225781,336533.0500100357,432818.6854360245,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47717,2018-12-17T12:38:24.087800Z,41.0,53.78904,-2.965058,2.277344,336517.8394454228,432955.4246050905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47718,2018-12-17T12:38:37.762800Z,41.0,53.78904,-2.964539,2.346094,336552.03110140783,432954.9596226628,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.2674893490527346
47719,2018-12-17T12:38:47.303500Z,41.0,53.78996,-2.966356,2.2601560000000003,336433.71844568074,433058.9409872243,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47720,2018-12-17T12:38:47.766800Z,41.0,53.78904,-2.965058,2.294531,336517.8394454228,432955.4246050905,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47721,2018-12-17T12:38:53.303400Z,41.0,53.78881,-2.965707,2.251563,336474.7358700827,432930.4183005107,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.8759394072857631
47722,2018-12-17T12:39:05.593000Z,41.0,53.78873299999999,-2.965318,2.346094,336500.2469736358,432921.5030646451,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47723,2018-12-17T12:39:07.612900Z,41.0,53.78904,-2.965058,2.277344,336517.8394454228,432955.4246050905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47724,2018-12-17T12:39:08.685800Z,41.0,53.7895,-2.965577,2.311719,336484.3427779863,433007.0660629388,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47725,2018-12-17T12:39:19.075100Z,41.0,53.78750600000001,-2.964799,2.380469,336532.5865564153,432784.5308534582,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47726,2018-12-17T12:39:22.686400Z,41.0,53.788273,-2.965058,2.277344,336516.6812476884,432870.09378087625,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47727,2018-12-17T12:39:26.958400Z,41.0,53.787046,-2.965319,2.277344,336497.6330147577,432733.8207158831,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
